,Id,MSSubClass,MSZoning,LogLotFrontage,LogLotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,Log1stFlrSF,X2ndFlrSF,LowQualFinSF,LogGrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LogSalePrice,TotalSF,CostPerSF
11,11,20,RL,1.446565,2.232556,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,6,1965,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,TA,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1.938306,0,0,1.938306,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,1965,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,2,2008,WD,Normal,2.465676,6.946976,124.5192
12,12,60,RL,1.491251,2.239252,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,10,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286,Ex,TA,PConc,Ex,TA,TA,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1.956562,1142,0,2.047828,1,0,3,0,4,1,Ex,11,Typ,2,2,BuiltIn,2005,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,None,None,None,0,7,2006,New,Partial,2.545633,7.751045,148.4509
13,13,20,RL,1.443172,2.248154,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,6,1962,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,TA,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,1.91922,0,0,1.91922,1,0,1,0,2,1,TA,4,Typ,0,None,Detchd,1962,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,None,None,None,0,9,2008,WD,Normal,2.474652,6.81564,157.8947
14,14,20,RL,1.506488,2.227161,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,8,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,Ex,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1.989136,0,0,1.989136,0,0,2,0,3,1,Gd,7,Typ,1,2,Attchd,2006,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,None,None,None,0,8,2007,New,Partial,2.528984,7.309212,187.0817
15,15,20,RL,1.443172,2.229837,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,7,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,TA,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1.964773,0,0,1.964773,1,0,1,1,2,1,TA,5,Typ,1,1,Attchd,1960,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,None,GdWo,None,0,5,2008,WD,Normal,2.481902,7.133296,125.2993
16,16,45,RM,1.369104,2.165541,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,8,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,TA,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,1.909532,0,0,1.909532,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,1991,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,None,GdPrv,None,0,7,2007,WD,Normal,2.467299,6.749931,154.5667
17,17,20,RL,1.443172,2.232948,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,TA,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1.933222,0,0,1.933222,1,0,1,0,2,1,TA,5,Typ,1,None,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,700,3,2010,WD,Normal,2.477521,6.911747,148.4064
18,18,90,RL,1.453174,2.228558,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,5,1967,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,None,None,None,None,0,None,0,0,0,GasA,TA,Y,SBrkr,1.969492,0,0,1.969492,0,0,2,0,2,2,TA,6,Typ,0,None,CarPort,1967,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,500,10,2006,WD,Normal,2.434277,7.167038,69.44444
19,19,20,RL,1.432618,2.253897,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,6,2004,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,TA,TA,TA,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1.948152,0,0,1.948152,1,0,1,1,3,1,Gd,6,Typ,0,None,Detchd,2004,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,None,None,None,0,6,2008,WD,Normal,2.48296,7.015712,142.7289
20,20,20,RL,1.446565,2.189487,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,6,1965,Hip,CompShg,BrkFace,Plywood,None,0,TA,TA,CBlock,TA,TA,TA,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1.974036,0,0,1.974036,0,0,1,0,3,1,TA,6,Min1,0,None,Attchd,1958,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2009,COD,Abnorml,2.471672,7.199678,103.8088
21,21,60,RL,1.529338,2.257802,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,9,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,Ex,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1.953659,1218,0,2.050679,0,0,3,1,4,1,Gd,9,Typ,1,2,BuiltIn,2005,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,None,None,None,0,11,2006,New,Partial,2.541012,7.773174,136.9108
22,22,45,RM,1.397,2.187829,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,8,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,PConc,TA,TA,TA,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1.947382,0,0,1.947382,0,0,1,0,3,1,Gd,6,Typ,1,2,Attchd,1930,Unf,1,280,TA,TA,N,0,0,205,0,0,0,None,GdPrv,None,0,6,2007,WD,Normal,2.471915,7.010312,125.8123
23,23,20,RL,1.462674,2.217485,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,9,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,TA,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,2.013937,0,0,2.013937,0,0,2,0,3,1,Gd,7,Typ,1,2,Attchd,2002,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,None,None,None,0,9,2008,WD,Normal,2.513319,7.49276,128.1337
24,24,120,RM,1.330832,2.122086,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,6,1976,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,PConc,Gd,TA,TA,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1.941045,0,0,1.941045,1,0,1,0,3,1,TA,6,Typ,1,None,Attchd,1976,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,None,None,None,0,6,2007,WD,Normal,2.465938,6.966024,122.5472
25,25,20,RL,1.443172,2.199165,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,6,2001,Gable,CompShg,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,TA,Gd,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1.941045,0,0,1.941045,1,0,1,0,3,1,Gd,6,Typ,1,None,Attchd,1968,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,None,MnPrv,None,0,5,2010,WD,Normal,2.480288,6.966024,145.283
26,26,20,RL,1.547665,2.257913,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,9,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,Gd,TA,PConc,Gd,TA,TA,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1.99847,0,0,1.99847,0,0,2,0,3,1,Gd,7,Typ,1,2,Attchd,2007,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,None,None,None,0,7,2009,WD,Normal,2.52205,7.377759,160.1875
27,27,20,RL,1.409607,2.184008,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,6,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Gd,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,1.917275,0,0,1.917275,0,1,1,0,3,1,Gd,5,Typ,0,None,Detchd,2005,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,None,None,None,0,5,2010,WD,Normal,2.469078,6.802395,149.7778
28,28,20,RL,1.522783,2.235182,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,9,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,Gd,TA,PConc,Ex,TA,TA,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,2.006969,0,0,2.006969,1,0,2,0,3,1,Gd,7,Typ,1,2,Attchd,2008,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,None,None,None,0,5,2010,WD,Normal,2.536181,7.440734,179.5775
29,29,20,RL,1.348111,2.272147,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,6,1997,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Fa,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1.99847,0,0,1.99847,1,0,1,0,2,1,TA,6,Typ,2,2,Attchd,1957,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,None,None,None,0,12,2006,WD,Normal,2.504945,7.377759,129.6875
30,30,30,RM,1.409607,2.169294,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,5,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,TA,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,1.833194,0,0,1.833194,0,0,1,0,1,1,Fa,4,Typ,0,None,Detchd,1920,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,None,None,None,0,5,2008,WD,Normal,2.410056,6.253829,131.7308
31,31,70,C (all),1.364055,2.202524,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,5,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,TA,Fa,BrkTil,TA,TA,TA,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,1.868015,668,0,1.971733,0,0,1,0,3,1,TA,6,Typ,0,None,Detchd,1920,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,2.360536,7.183112,30.37206
32,32,20,RL,1.443172,2.203094,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,6,2006,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,TA,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1.961944,0,0,1.961944,0,0,1,1,3,1,Gd,6,Typ,0,None,Attchd,1966,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,None,MnPrv,None,0,6,2008,WD,Normal,2.477718,7.113142,121.6205
33,33,20,RL,1.491251,2.231099,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,9,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,Ex,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1.962629,0,0,1.962629,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2007,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,None,None,None,0,1,2008,WD,Normal,2.493218,7.118016,145.7861
34,34,20,RL,1.446565,2.226144,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,6,1959,Hip,CompShg,BrkFace,BrkFace,None,0,TA,TA,CBlock,TA,TA,TA,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,2.006654,0,0,2.006654,0,1,1,1,4,1,Gd,6,Typ,1,2,Attchd,1959,RFn,2,447,TA,TA,Y,0,38,0,0,0,0,None,None,None,0,4,2010,WD,Normal,2.4863,7.438384,97.35294
35,35,120,RL,1.409607,2.18576,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,10,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,Ex,TA,PConc,Ex,TA,TA,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,1.99512,0,0,1.99512,1,0,2,0,2,1,Ex,6,Typ,1,2,Attchd,2005,Fin,2,556,TA,TA,Y,203,47,0,0,0,0,None,None,None,0,8,2007,WD,Normal,2.528411,7.353082,177.7707
36,36,60,RL,1.543753,2.25175,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,9,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,Gd,TA,PConc,Ex,TA,Ex,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1.950434,1320,0,2.054721,0,0,3,1,4,1,Gd,9,Typ,1,2,BuiltIn,2004,Fin,3,691,TA,TA,Y,113,32,0,0,0,0,None,None,None,0,9,2006,WD,Normal,2.536953,7.804659,126.0196
37,37,20,RL,1.551491,2.229234,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,6,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,TA,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,1.945958,0,0,1.945958,0,0,1,1,3,1,TA,6,Typ,0,None,Attchd,1995,Unf,2,672,TA,TA,Y,392,64,0,0,0,0,None,None,None,0,6,2009,WD,Normal,2.475234,7.000334,132.1787
38,38,20,RL,1.45956,2.202939,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,6,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CBlock,TA,TA,TA,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,1.9696,0,0,1.9696,0,1,1,0,3,1,TA,5,Typ,1,None,Attchd,1954,Fin,2,498,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,10,2009,WD,Normal,2.479743,7.167809,117.9645
39,39,20,RL,1.439718,2.19471,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,6,2007,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,TA,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,1.940638,0,0,1.940638,1,0,1,0,3,1,Gd,5,Typ,0,None,Detchd,1953,Unf,1,246,TA,TA,Y,0,52,0,0,0,0,None,None,None,0,1,2010,WD,Abnorml,2.450928,6.96319,103.122
40,40,90,RL,1.428968,2.164031,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,5,1955,Gable,CompShg,AsbShng,Plywood,None,0,TA,TA,PConc,None,None,None,None,0,None,0,0,0,GasA,TA,N,FuseP,1.952922,0,0,1.952922,0,0,2,0,2,2,Fa,6,Typ,0,None,None,0,None,0,0,None,None,N,0,0,0,0,0,0,None,None,None,0,6,2008,WD,AdjLand,2.426083,7.049255,71.18056
41,41,20,RL,1.488584,2.204558,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,7,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CBlock,TA,TA,TA,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,1.97247,0,0,1.97247,0,0,2,0,3,1,TA,6,Typ,1,None,Attchd,1965,RFn,2,440,TA,TA,Y,0,138,0,0,0,0,None,GdWo,None,0,12,2006,WD,Abnorml,2.483483,7.188413,120.8459
42,42,20,RL,1.557077,2.275765,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,6,1959,Gable,CompShg,VinylSd,VinylSd,None,0,TA,Gd,CBlock,TA,TA,Fa,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,1.97289,0,0,1.97289,0,1,1,1,2,1,TA,5,Typ,2,2,Attchd,1959,RFn,1,308,TA,TA,P,0,104,0,0,0,0,None,None,None,0,7,2007,WD,Normal,2.48853,7.191429,128.012
43,43,85,RL,1.443172,2.210994,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,6,1983,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Ex,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,1.914634,0,0,1.914634,1,0,1,0,2,1,Gd,5,Typ,0,None,Attchd,1983,RFn,2,504,TA,Gd,Y,240,0,0,0,0,0,None,MnPrv,None,0,12,2007,WD,Normal,2.474652,6.784457,162.8959
44,44,20,RL,1.443172,2.211233,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,6,1980,Hip,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,Gd,TA,Ex,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,1.923336,0,0,1.923336,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,1977,Unf,1,308,TA,TA,Y,145,0,0,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,2.466166,6.84375,138.8593
45,45,20,RL,1.446565,2.195033,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,6,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,TA,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,1.952675,0,0,1.952675,1,0,1,0,3,1,TA,6,Typ,0,None,Attchd,1959,RFn,1,300,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,5,2006,WD,Normal,2.472878,7.047517,122.6087
46,46,120,RL,1.413636,2.190928,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,10,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,Ex,TA,PConc,Ex,TA,TA,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,2.010696,0,0,2.010696,1,0,2,0,2,1,Ex,6,Typ,1,2,Attchd,2005,RFn,2,576,TA,TA,Y,196,82,0,0,0,0,None,None,None,0,2,2010,WD,Normal,2.539692,7.468513,182.5913
